Region,Year,GINI,GRDP,LFPR,UR,UndR
NCR,2021,0.3259,4.4,60.73,10.56,10.91
CAR,2021,0.4191,7.5,57.7,10.8,15
R1,2021,0.4015,4.6,65.54,7.54,13.79
R2,2021,0.4201,5.1,65.1,6.45,13.25
R3,2021,0.3619,7.4,51.45,7.27,6.28
R4A,2021,0.3773,7.6,63.88,10.76,18.56
R4B,2021,0.4193,3.3,64.38,6.63,17.24
R5,2021,0.41,4.3,60.2,9.24,24.1
NCR,2024,0.343,5.6,63.34,4.92,6.79
CAR,2024,0.3531,4.8,56.9,4.1,16.3
R1,2024,0.3689,4.9,67.46,3.63,7.08
R2,2024,0.3569,5.3,58.25,2.3,6.15
R3,2024,0.307,6.5,63.85,2.73,5.99
R4A,2024,0.3736,5.6,62.37,5.43,17.64
R4B,2024,0.4049,4.4,63.25,3.75,15.6
R5,2024,0.3959,4.9,58.78,5.32,16.58
